Phase,Module,Task,Priority,Status,Owner,Notes
Phase 0 - Safety,,Backup database,High,Not Started,,
Phase 0 - Safety,,Create working branch,High,Not Started,,
Phase 0 - Safety,,Check APP_DEBUG=false,High,Not Started,,
Phase 0 - Safety,,Remove/guard debug routes,High,Not Started,,
Phase 1 - Audit,,Audit migrations,High,Not Started,,
Phase 1 - Audit,,Audit models,High,Not Started,,
Phase 1 - Audit,,Audit routes,High,Not Started,,
Phase 1 - Audit,,Audit controllers,High,Not Started,,
Phase 1 - Audit,,Audit views,High,Not Started,,
Phase 1 - Audit,,Audit permissions,High,Not Started,,
Phase 1 - Audit,,Audit status usage,High,Not Started,,
Phase 2 - Status,,Create status mapping,High,Not Started,,
Phase 2 - Status,,Create enum/config statuses,High,Not Started,,
Phase 2 - Status,,Convert risky enum columns to string,High,Not Started,,
Phase 2 - Status,,Update badges/filters/dashboard,High,Not Started,,
Phase 3 - Inquiry,,Require customer/agent,Medium,Not Started,,
Phase 3 - Inquiry,,Complete source options,Medium,Not Started,,
Phase 3 - Inquiry,,Add follow-up history,Medium,Not Started,,
Phase 3 - Inquiry,,Add create itinerary action,Medium,Not Started,,
Phase 3 - Inquiry,,Lock final inquiry,Medium,Not Started,,
Phase 4 - Itinerary,,Ensure inquiry relation,Medium,Not Started,,
Phase 4 - Itinerary,,Ensure chargeable/include flags,Medium,Not Started,,
Phase 4 - Itinerary,,Enable duplicate/PDF,Medium,Not Started,,
Phase 4 - Itinerary,,Generate quotation,Medium,Not Started,,
Phase 4 - Itinerary,,Lock converted itinerary,Medium,Not Started,,
Phase 5 - Quotation,,Add versioning,Medium,Not Started,,
Phase 5 - Quotation,,Snapshot rates,Medium,Not Started,,
Phase 5 - Quotation,,Validate totals,Medium,Not Started,,
Phase 5 - Quotation,,Revision flow,Medium,Not Started,,
Phase 5 - Quotation,,Lock accepted/converted,Medium,Not Started,,
Phase 6 - Validation,,Dedicated page,Medium,Not Started,,
Phase 6 - Validation,,Item modal,Medium,Not Started,,
Phase 6 - Validation,,Rate/markup validation,Medium,Not Started,,
Phase 6 - Validation,,Block send if invalid,Medium,Not Started,,
Phase 6 - Validation,,Validation log,Medium,Not Started,,
Phase 7 - Booking,,Convert only accepted quotation,Medium,Not Started,,
Phase 7 - Booking,,Store quotation/itinerary reference,Medium,Not Started,,
Phase 7 - Booking,,Create booking items,Medium,Not Started,,
Phase 7 - Booking,,Generate invoice,Medium,Not Started,,
Phase 7 - Booking,,Close only after settlement,Medium,Not Started,,
Phase 8 - Finance,,DP invoice,Medium,Not Started,,
Phase 8 - Finance,,Balance invoice,Medium,Not Started,,
Phase 8 - Finance,,Partial payment,Medium,Not Started,,
Phase 8 - Finance,,Overpayment,Medium,Not Started,,
Phase 8 - Finance,,Refund/deposit,Medium,Not Started,,
Phase 9 - Operation,,Vendor confirmation,Medium,Not Started,,
Phase 9 - Operation,,Driver/guide assignment,Medium,Not Started,,
Phase 9 - Operation,,SPK,Medium,Not Started,,
Phase 9 - Operation,,Service started/completed,Medium,Not Started,,
Phase 9 - Operation,,Issue report,Medium,Not Started,,
Phase 10 - Adjustment Settlement,,Adjustment approval,Medium,Not Started,,
Phase 10 - Adjustment Settlement,,Additional invoice/refund/deposit,Medium,Not Started,,
Phase 10 - Adjustment Settlement,,Settlement review,Medium,Not Started,,
Phase 10 - Adjustment Settlement,,Close booking,Medium,Not Started,,
Phase 11 - Production,,Route test,Medium,Not Started,,
Phase 11 - Production,,Permission test,Medium,Not Started,,
Phase 11 - Production,,Vite build,Medium,Not Started,,
Phase 11 - Production,,Storage link,Medium,Not Started,,
Phase 11 - Production,,Queue/scheduler,Medium,Not Started,,
Phase 11 - Production,,Backup/log review,Medium,Not Started,,
